Date,Open,High,Low,Close,Adj Close,Volume
2019-02-04,103.790001,104.250000,103.010002,104.250000,102.731049,9871500
2019-02-05,104.519997,104.550003,103.290001,103.790001,102.277756,12763000
2019-02-06,103.709999,104.620003,103.470001,103.739998,102.228485,8745000
2019-02-07,103.250000,103.500000,101.440002,102.379997,100.888290,13177500
2019-02-08,102.080002,102.339996,100.059998,101.360001,99.883163,12892600
2019-02-11,101.760002,102.010002,100.769997,100.879997,99.410149,10978500
2019-02-12,101.949997,102.919998,101.889999,102.599998,101.105087,12852300
2019-02-13,102.900002,103.849998,102.900002,103.089996,101.587952,10754100
2019-02-14,102.470001,103.099998,101.349998,102.419998,100.927711,11518500
2019-02-15,103.900002,105.699997,103.660004,105.550003,104.012108,14716900
2019-02-19,104.910004,105.370003,103.809998,105.180000,103.647499,12764900
2019-02-20,105.209999,105.800003,104.879997,105.690002,104.150070,10030300
2019-02-21,105.449997,105.989998,104.959999,105.470001,103.933281,8400100
2019-02-22,105.699997,106.089996,104.779999,105.000000,103.470123,10647300
2019-02-25,105.750000,107.269997,105.690002,106.099998,104.554100,11230700
2019-02-26,104.500000,105.470001,103.940002,105.290001,103.755898,15465400
2019-02-27,105.180000,105.379997,104.510002,105.160004,103.627792,9968800
2019-02-28,105.010002,105.209999,104.180000,104.360001,102.839455,15156900
2019-03-01,105.099998,105.910004,104.199997,104.430000,102.908432,13813300
2019-03-04,104.919998,105.919998,103.269997,104.190002,102.671928,12466300
2019-03-05,104.129997,104.550003,103.260002,104.110001,102.593086,10856600
2019-03-06,103.860001,104.570000,103.550003,103.720001,102.208778,9070800
2019-03-07,103.250000,103.470001,102.160004,102.970001,101.469704,12705700
2019-03-08,101.989998,103.230003,101.989998,103.010002,101.509117,10582400
2019-03-11,103.980003,104.550003,103.660004,104.349998,102.829597,9763200
2019-03-12,104.589996,104.790001,103.750000,104.040001,102.524109,10219100
2019-03-13,104.190002,104.980003,103.949997,104.389999,102.869011,13022200
2019-03-14,104.500000,105.870003,104.459999,105.339996,103.805161,10926500
2019-03-15,105.410004,106.800003,105.230003,106.550003,104.997543,24811700
2019-03-18,106.550003,107.790001,106.500000,107.190002,105.628220,12935500
2019-03-19,108.199997,108.400002,106.550003,106.800003,105.243896,12889300
2019-03-20,106.430000,106.650002,104.410004,104.519997,102.997108,14920700
2019-03-21,103.489998,103.489998,102.279999,102.870003,101.371162,19751000
2019-03-22,101.820000,102.320000,99.519997,99.760002,98.306473,31115200
2019-03-25,99.589996,100.570000,98.089996,98.930000,97.488564,21032300
2019-03-26,99.820000,100.400002,98.820000,99.919998,98.464142,15987100
2019-03-27,99.879997,100.449997,99.080002,99.580002,98.129097,12753200
2019-03-28,100.000000,100.800003,99.739998,100.709999,99.242630,12454100
2019-03-29,101.540001,101.989998,100.589996,101.230003,99.755058,14523400
2019-04-01,102.150002,104.680000,102.120003,104.639999,103.115372,17499300
2019-04-02,104.599998,105.440002,104.330002,105.139999,103.608078,10295400
